dataset,partition_train_pct,classifier,avg_train_acc,avg_test_acc,best_params
adult,20.0,knn,0.9998333333333335,0.8195833333333334,"{'classifier__weights': 'distance', 'classifier__n_neighbors': 9}"
adult,20.0,logistic_regression,0.8516666666666666,0.8453333333333334,"{'classifier__solver': 'lbfgs', 'classifier__C': 0.1}"
adult,20.0,random_forest,0.9185,0.8505833333333334,"{'classifier__n_estimators': 50, 'classifier__min_samples_split': 10, 'classifier__max_depth': 20}"
adult,20.0,svm,0.8726666666666666,0.8443333333333335,"{'classifier__kernel': 'rbf', 'classifier__C': 1}"
adult,20.0,xgboost,0.8758333333333334,0.8549166666666667,"{'classifier__n_estimators': 50, 'classifier__max_depth': 3, 'classifier__learning_rate': 0.1}"
adult,50.0,knn,0.9998666666666667,0.8268666666666666,"{'classifier__weights': 'distance', 'classifier__n_neighbors': 9}"
adult,50.0,logistic_regression,0.856,0.8485999999999999,"{'classifier__solver': 'lbfgs', 'classifier__C': 0.1}"
adult,50.0,random_forest,0.9099333333333334,0.8597999999999999,"{'classifier__n_estimators': 50, 'classifier__min_samples_split': 10, 'classifier__max_depth': 20}"
adult,50.0,svm,0.8726666666666666,0.8511333333333333,"{'classifier__kernel': 'rbf', 'classifier__C': 1}"
adult,50.0,xgboost,0.8797333333333333,0.862,"{'classifier__n_estimators': 100, 'classifier__max_depth': 3, 'classifier__learning_rate': 0.1}"
adult,80.0,knn,0.9999166666666666,0.8313333333333333,"{'classifier__weights': 'distance', 'classifier__n_neighbors': 9}"
adult,80.0,logistic_regression,0.8553333333333333,0.852,"{'classifier__solver': 'lbfgs', 'classifier__C': 0.1}"
adult,80.0,random_forest,0.9089166666666667,0.8581666666666666,"{'classifier__n_estimators': 50, 'classifier__min_samples_split': 10, 'classifier__max_depth': 20}"
adult,80.0,svm,0.872375,0.8558333333333333,"{'classifier__kernel': 'rbf', 'classifier__C': 1}"
adult,80.0,xgboost,0.8833333333333333,0.867,"{'classifier__n_estimators': 100, 'classifier__max_depth': 3, 'classifier__learning_rate': 0.1}"
letter,20.0,knn,0.999,0.9961666666666668,"{'classifier__weights': 'uniform', 'classifier__n_neighbors': 3}"
letter,20.0,logistic_regression,0.9925833333333333,0.9907916666666666,"{'classifier__solver': 'liblinear', 'classifier__C': 10}"
letter,20.0,random_forest,1.0,0.9940208333333334,"{'classifier__n_estimators': 100, 'classifier__min_samples_split': 2, 'classifier__max_depth': 20}"
letter,20.0,svm,0.9996666666666667,0.9968750000000001,"{'classifier__kernel': 'rbf', 'classifier__C': 10}"
letter,20.0,xgboost,1.0,0.9963125,"{'classifier__n_estimators': 100, 'classifier__max_depth': 3, 'classifier__learning_rate': 0.3}"
letter,50.0,knn,0.9996333333333333,0.9979999999999999,"{'classifier__weights': 'uniform', 'classifier__n_neighbors': 3}"
letter,50.0,logistic_regression,0.9911333333333333,0.9906,"{'classifier__solver': 'liblinear', 'classifier__C': 10}"
letter,50.0,random_forest,1.0,0.9961333333333333,"{'classifier__n_estimators': 50, 'classifier__min_samples_split': 2, 'classifier__max_depth': None}"
letter,50.0,svm,0.9998,0.9990333333333333,"{'classifier__kernel': 'rbf', 'classifier__C': 10}"
letter,50.0,xgboost,1.0,0.9975666666666667,"{'classifier__n_estimators': 100, 'classifier__max_depth': 3, 'classifier__learning_rate': 0.3}"
letter,80.0,knn,1.0,0.999,"{'classifier__weights': 'distance', 'classifier__n_neighbors': 3}"
letter,80.0,logistic_regression,0.990875,0.9903333333333334,"{'classifier__solver': 'liblinear', 'classifier__C': 10}"
letter,80.0,random_forest,1.0,0.9971666666666666,"{'classifier__n_estimators': 100, 'classifier__min_samples_split': 2, 'classifier__max_depth': 20}"
letter,80.0,svm,0.9998125,0.9993333333333334,"{'classifier__kernel': 'rbf', 'classifier__C': 10}"
letter,80.0,xgboost,0.9999583333333333,0.9979999999999999,"{'classifier__n_estimators': 100, 'classifier__max_depth': 3, 'classifier__learning_rate': 0.3}"
mushroom,20.0,knn,0.9994089834515366,0.9983023324475937,"{'classifier__weights': 'uniform', 'classifier__n_neighbors': 3}"
mushroom,20.0,logistic_regression,1.0,0.9994095069382934,"{'classifier__solver': 'liblinear', 'classifier__C': 10}"
mushroom,20.0,random_forest,1.0,0.9994095069382934,"{'classifier__n_estimators': 100, 'classifier__min_samples_split': 2, 'classifier__max_depth': 20}"
mushroom,20.0,svm,1.0,0.9991142604074401,"{'classifier__kernel': 'rbf', 'classifier__C': 10}"
mushroom,20.0,xgboost,0.9997044917257684,0.9988928255093003,"{'classifier__n_estimators': 100, 'classifier__max_depth': 3, 'classifier__learning_rate': 0.1}"
mushroom,50.0,knn,1.0,1.0,"{'classifier__weights': 'uniform', 'classifier__n_neighbors': 3}"
mushroom,50.0,logistic_regression,1.0,1.0,"{'classifier__solver': 'liblinear', 'classifier__C': 10}"
mushroom,50.0,random_forest,1.0,1.0,"{'classifier__n_estimators': 50, 'classifier__min_samples_split': 10, 'classifier__max_depth': 20}"
mushroom,50.0,svm,1.0,1.0,"{'classifier__kernel': 'rbf', 'classifier__C': 1}"
mushroom,50.0,xgboost,1.0,1.0,"{'classifier__n_estimators': 100, 'classifier__max_depth': 3, 'classifier__learning_rate': 0.1}"
mushroom,80.0,knn,1.0,1.0,"{'classifier__weights': 'uniform', 'classifier__n_neighbors': 3}"
mushroom,80.0,logistic_regression,1.0,1.0,"{'classifier__solver': 'liblinear', 'classifier__C': 10}"
mushroom,80.0,random_forest,1.0,1.0,"{'classifier__n_estimators': 50, 'classifier__min_samples_split': 10, 'classifier__max_depth': 20}"
mushroom,80.0,svm,1.0,1.0,"{'classifier__kernel': 'rbf', 'classifier__C': 1}"
mushroom,80.0,xgboost,1.0,1.0,"{'classifier__n_estimators': 100, 'classifier__max_depth': 3, 'classifier__learning_rate': 0.1}"
spambase,20.0,knn,1.0,0.8832744725165264,"{'classifier__weights': 'distance', 'classifier__n_neighbors': 3}"
spambase,20.0,logistic_regression,0.9206521739130435,0.9058226931087567,"{'classifier__solver': 'liblinear', 'classifier__C': 0.1}"
spambase,20.0,random_forest,0.9992753623188406,0.9402336321651724,"{'classifier__n_estimators': 100, 'classifier__min_samples_split': 2, 'classifier__max_depth': 20}"
spambase,20.0,svm,0.9586956521739131,0.9125237707144799,"{'classifier__kernel': 'rbf', 'classifier__C': 1}"
spambase,20.0,xgboost,0.9793478260869565,0.9356153219233904,"{'classifier__n_estimators': 100, 'classifier__max_depth': 3, 'classifier__learning_rate': 0.1}"
spambase,50.0,knn,0.9995652173913042,0.9155439663914239,"{'classifier__weights': 'distance', 'classifier__n_neighbors': 9}"
spambase,50.0,logistic_regression,0.9333333333333335,0.9188758510792411,"{'classifier__solver': 'liblinear', 'classifier__C': 10}"
spambase,50.0,random_forest,0.9985507246376812,0.9494422714761698,"{'classifier__n_estimators': 100, 'classifier__min_samples_split': 2, 'classifier__max_depth': 20}"
spambase,50.0,svm,0.9714492753623188,0.9265536723163842,"{'classifier__kernel': 'rbf', 'classifier__C': 10}"
spambase,50.0,xgboost,0.9872463768115942,0.948283355063016,"{'classifier__n_estimators': 100, 'classifier__max_depth': 3, 'classifier__learning_rate': 0.3}"
spambase,80.0,knn,0.9996376811594203,0.9218241042345277,"{'classifier__weights': 'distance', 'classifier__n_neighbors': 3}"
spambase,80.0,logistic_regression,0.9307971014492753,0.9211002533478103,"{'classifier__solver': 'liblinear', 'classifier__C': 10}"
spambase,80.0,random_forest,0.9963768115942028,0.9500542888165038,"{'classifier__n_estimators': 100, 'classifier__min_samples_split': 2, 'classifier__max_depth': 20}"
spambase,80.0,svm,0.9681159420289855,0.931234165761853,"{'classifier__kernel': 'rbf', 'classifier__C': 10}"
spambase,80.0,xgboost,0.9811594202898551,0.9489685124864278,"{'classifier__n_estimators': 100, 'classifier__max_depth': 3, 'classifier__learning_rate': 0.3}"
